============================================================
Thread 0
  BBLID       Time(ns)    Instruction  Memory Access          Hash(hi)          Hash(lo)
     11            243             18              1  26eabfaf49b46807  dc68f269af97a825
     13            260             18              3  714078e5b39a254e  fa0805800a5489a2
     14          34694           3200            202  9b6b67663caff197  01bcfdb46338199f
     15          31695           2560            224  9b6b67663caff197  05f27bcc1cdb8266
     16           3200           3200             46  9b6b67663caff197  1b21b53707c358f6
     17          31818           2560            192  9b6b67663caff197  22bb6da8a0416390
     18            107             14              0  9b6b67663caff197  6862616b2eb03d7a
     19             89              4              1  9b6b67663caff197  754f937a72a32e15
     20            239              9              3  9b6b67663caff197  c95c57b49558ef66
     21              8              5              0  9b6b67663caff197  e38d9ac4f4fc8417
     22          15544           6299            144  9b6b67663caff197  ea58e854dec6c4c0
     23            880             27              8  9b6b67663caff197  f11ba1ac3c6de015
     24    1.21984e+08       43253760         556799  9b6b67663caff197  f2bdb52c73dba2c7
     25           2560           2560             37  9b6b67663caff197  fa8ea32b53831861
     26            156              8              2  a56d04c363e13700  098c78d9fa04e08a
     27          23622           9995            118  a56d04c363e13700  1776424a4a9e8336
     28           3504           1429              0  a56d04c363e13700  20001b767bcd4beb
     29              4              4              0  a56d04c363e13700  28cbb1688adc06d1
     30            113              4              2  a56d04c363e13700  3b6df67f33774bd2
     31           2833           1568             31  a56d04c363e13700  60c4d4d4e0412413
     32          25602           6136            259  a56d04c363e13700  6689142888329f8c
     33          18295           5832            111  a56d04c363e13700  8adb5482b7db49d1
     34              4              4              0  a56d04c363e13700  ab2f03b51a72512c
     35            189             15              3  a56d04c363e13700  ef7d4b97ea23523f
     36           3200           3200             66  abc675ef47e07b7f  174779975e86f455
     37            830             27             12  abc675ef47e07b7f  1992fcee9a199399
     38            183              7              0  abc675ef47e07b7f  87e7f12c017876ea
     39          11195           6134             65  abc675ef47e07b7f  a678e5ad06e249a8
     40             67             10              0  abc675ef47e07b7f  adc0e7a2a634810f
     41             68              4              1  abc675ef47e07b7f  bd49465c4dd56070
     42           2560           2560             69  abc675ef47e07b7f  be993a2c079f97e1
     43            125              9              0  abc675ef47e07b7f  c2cb14c20f7a22f1
     44    1.88737e+08       34078720        1364302  abc675ef47e07b7f  e32e62722cfb2564
     45          50422           3840            447  abc675ef47e07b7f  e907806bc2eee8ac
============================================================
Thread 3
  BBLID       Time(ns)    Instruction  Memory Access          Hash(hi)          Hash(lo)
      0    2.43658e+07       23724563         593570  0000000000000000  0000000000000000
      5             77              8              0  26eabfaf49b46807  07068e991ca9abc1
      6          17973           6805             81  26eabfaf49b46807  133f55f2648fecce
      7          43681          12844            417  26eabfaf49b46807  53360b0d29e60035
      8          21086           5376             90  26eabfaf49b46807  82574bb65160613d
      9             51              8              0  26eabfaf49b46807  8e5e435081afd6fb
     10            570             12              2  26eabfaf49b46807  a5b9dd26ead2f771
     11            229             18              3  26eabfaf49b46807  dc68f269af97a825
     14          46957           3200            724  9b6b67663caff197  01bcfdb46338199f
     15          46464           2560            752  9b6b67663caff197  05f27bcc1cdb8266
     16           3200           3200            105  9b6b67663caff197  1b21b53707c358f6
     17          41414           2560            739  9b6b67663caff197  22bb6da8a0416390
     18            119             14              3  9b6b67663caff197  6862616b2eb03d7a
     19             66              4              3  9b6b67663caff197  754f937a72a32e15
     20            225              9              0  9b6b67663caff197  c95c57b49558ef66
     21              8              5              0  9b6b67663caff197  e38d9ac4f4fc8417
     22          23635           7116            198  9b6b67663caff197  ea58e854dec6c4c0
     23            859             27             12  9b6b67663caff197  f11ba1ac3c6de015
     24    1.22028e+08       43253760        1632724  9b6b67663caff197  f2bdb52c73dba2c7
     25           2560           2560            155  9b6b67663caff197  fa8ea32b53831861
     26            140              8              0  a56d04c363e13700  098c78d9fa04e08a
     27          25613           8588            184  a56d04c363e13700  1776424a4a9e8336
     28          10629           4874             33  a56d04c363e13700  20001b767bcd4beb
     29              4              4              0  a56d04c363e13700  28cbb1688adc06d1
     30             70              4              0  a56d04c363e13700  3b6df67f33774bd2
     31           2930           1568             61  a56d04c363e13700  60c4d4d4e0412413
     32          24414           6136            406  a56d04c363e13700  6689142888329f8c
     33          10829           5147            168  a56d04c363e13700  8adb5482b7db49d1
     34              4              4              0  a56d04c363e13700  ab2f03b51a72512c
     35            217             15              0  a56d04c363e13700  ef7d4b97ea23523f
     36           3200           3200             79  abc675ef47e07b7f  174779975e86f455
     37            755             27              8  abc675ef47e07b7f  1992fcee9a199399
     38            158              7              0  abc675ef47e07b7f  87e7f12c017876ea
     39          11444           6134             55  abc675ef47e07b7f  a678e5ad06e249a8
     40             67             10              0  abc675ef47e07b7f  adc0e7a2a634810f
     41             55              4              0  abc675ef47e07b7f  bd49465c4dd56070
     42           2560           2560             55  abc675ef47e07b7f  be993a2c079f97e1
     43            125              9              1  abc675ef47e07b7f  c2cb14c20f7a22f1
     44    1.88727e+08       34078720        1467993  abc675ef47e07b7f  e32e62722cfb2564
     45          50364           3840            450  abc675ef47e07b7f  e907806bc2eee8ac
============================================================
Thread 4
  BBLID       Time(ns)    Instruction  Memory Access          Hash(hi)          Hash(lo)
      0    2.51475e+07       24131072          11225  0000000000000000  0000000000000000
      5             69              8              1  26eabfaf49b46807  07068e991ca9abc1
      6          18515           6308             76  26eabfaf49b46807  133f55f2648fecce
      7          42681          12844            420  26eabfaf49b46807  53360b0d29e60035
      8          20846           5376            114  26eabfaf49b46807  82574bb65160613d
      9             81              8              1  26eabfaf49b46807  8e5e435081afd6fb
     10            222             12              3  26eabfaf49b46807  a5b9dd26ead2f771
     11            246             18              3  26eabfaf49b46807  dc68f269af97a825
     13            492             36              0  714078e5b39a254e  fa0805800a5489a2
     14          33510           3200            453  9b6b67663caff197  01bcfdb46338199f
     15          29842           2560            415  9b6b67663caff197  05f27bcc1cdb8266
     16           3200           3200              2  9b6b67663caff197  1b21b53707c358f6
