============================================================
Thread 0
  BBLID       Time(ns)    Instruction  Memory Access          Hash(hi)          Hash(lo)
     64             49              4              0  b37b183445c96596  3001b6fb84d61850
     65         144620         144620            609  b37b183445c96596  4c887614dd02f590
     66            294              9              2  b37b183445c96596  5a64f7ba7a51f79f
     67          58403          57848            489  b37b183445c96596  675726f7a60715aa
     68          15466           6195            148  b37b183445c96596  a5a6044a4c07d484
     69            135             10              0  b37b183445c96596  c52183c2bc48e9e5
============================================================
Thread 3
  BBLID       Time(ns)    Instruction  Memory Access          Hash(hi)          Hash(lo)
      0     1.6917e+06        1416210          12338  0000000000000000  0000000000000000
     59          90602          72310            871  b37b183445c96596  011d2a5e7b19a5ee
     60         182364          86772            828  b37b183445c96596  0abcee64fc570d70
     61         703785         198081           1824  b37b183445c96596  0b8b4f34aabd7eb0
     62            805             27             11  b37b183445c96596  24b1019ffde88caa
     63    1.41796e+07        2841426          48188  b37b183445c96596  2e930d38ea32691b
     64             55              4              1  b37b183445c96596  3001b6fb84d61850
     65         144620         144620            485  b37b183445c96596  4c887614dd02f590
     66            285              9              0  b37b183445c96596  5a64f7ba7a51f79f
     67          58286          57848            420  b37b183445c96596  675726f7a60715aa
     68          23061           7017            193  b37b183445c96596  a5a6044a4c07d484
     69            158             10              3  b37b183445c96596  c52183c2bc48e9e5
============================================================
Thread 4
  BBLID       Time(ns)    Instruction  Memory Access          Hash(hi)          Hash(lo)
      0    4.06294e+06        2452423          12872  0000000000000000  0000000000000000
     59          89942          72310            941  b37b183445c96596  011d2a5e7b19a5ee
     60         180890          86772           1004  b37b183445c96596  0abcee64fc570d70
     61         703884         196479           2181  b37b183445c96596  0b8b4f34aabd7eb0
     62            810             27              0  b37b183445c96596  24b1019ffde88caa
     63    1.18161e+07        2368506          47107  b37b183445c96596  2e930d38ea32691b
     64             55              4              0  b37b183445c96596  3001b6fb84d61850
     65         144620         144620            604  b37b183445c96596  4c887614dd02f590
     66            271              9              4  b37b183445c96596  5a64f7ba7a51f79f
     67          58475          57848            468  b37b183445c96596  675726f7a60715aa
     68          16429           6195            142  b37b183445c96596  a5a6044a4c07d484
     69            148             10              2  b37b183445c96596  c52183c2bc48e9e5
============================================================
Thread 5
  BBLID       Time(ns)    Instruction  Memory Access          Hash(hi)          Hash(lo)
      0    1.75144e+06        1444415          14686  0000000000000000  0000000000000000
     59          90611          72310            981  b37b183445c96596  011d2a5e7b19a5ee
     60         181728          86772           1007  b37b183445c96596  0abcee64fc570d70
     61         702244         198081           2163  b37b183445c96596  0b8b4f34aabd7eb0
     62            793             27              5  b37b183445c96596  24b1019ffde88caa
     63    1.41202e+07        2841426          56801  b37b183445c96596  2e930d38ea32691b
     64             55              4              0  b37b183445c96596  3001b6fb84d61850
     65         144620         144620            640  b37b183445c96596  4c887614dd02f590
     66            289              9              4  b37b183445c96596  5a64f7ba7a51f79f
     67          58470          57848            494  b37b183445c96596  675726f7a60715aa
     68          16000           6195            118  b37b183445c96596  a5a6044a4c07d484
