============================================================
Thread 0
  BBLID       Time(ns)    Instruction  Memory Access          Hash(hi)          Hash(lo)
     91        88643.6         846138              1  601fc0c8e9a450d6  312ac290a99f0722
     92       0.666666              6              1  601fc0c8e9a450d6  5bff7c8f96abac56
     93        1.33333              8              1  601fc0c8e9a450d6  6a6ca6f378dd094f
     94        80749.9         773579              0  601fc0c8e9a450d6  736746ca644de049
     95        80556.9         749177              1  601fc0c8e9a450d6  7a1e89092a645738
     96         201635        1765243              1  601fc0c8e9a450d6  af11147649ec00c9
     97         128886        1232502              1  601fc0c8e9a450d6  b367cc0bd6020f33
     98         112834        1112107              1  601fc0c8e9a450d6  bff5177754a86366
     99        80586.3         797639              0  601fc0c8e9a450d6  c857da5f4f8a687a
    100         112698         991232            127  601fc0c8e9a450d6  c87dd7809d36cea3
    101        88645.6         870184              0  601fc0c8e9a450d6  eedf914740a9f8bb
    102              0              0            294  63649d658b0c18f9  f3116c794a45dd83
    103        14.6667            121              1  6996a716c09d399d  63e26df4292b4909
    104       0.666666              6              0  6996a716c09d399d  6eb873a50e08d246
    105        1.66667             14              1  6996a716c09d399d  754f29b7ffc36d17
    106        5.33333              8              0  6996a716c09d399d  8b9c046171a10d4f
    107       0.666666              7              0  6996a716c09d399d  8c0368657c1aa1b9
    108        26.6666            280              1  6996a716c09d399d  8eef1fb137f33c43
    109       0.666666              5              1  6996a716c09d399d  b294678e344a39da
    110       0.666666              5              0  6996a716c09d399d  b4be0f8c672a3d21
    111        1.66667             16              1  6996a716c09d399d  c8333df2956551ae
    112        1514.67            218              2  6996a716c09d399d  cb4448f3bb842a1f
    113       0.666666              4              0  6996a716c09d399d  db8044b4261832d3
    114       0.999999              5              1  6996a716c09d399d  e5708dafc2d7c740
    115       0.666666              8              0  9b60f4f6b2d19888  1ae976e749f8347a
    116        621.999            987              1  9b60f4f6b2d19888  20ccaf2c4930b599
    117           1730            491             73  9b60f4f6b2d19888  25f6dae6c8baf3e2
    118             11             83              1  9b60f4f6b2d19888  2db39da314450727
    119        8.99999              5              1  9b60f4f6b2d19888  2e23b63d5860f3c6
    120       0.333333              3              1  9b60f4f6b2d19888  3b085a1336189302
    121       0.333333              4              0  9b60f4f6b2d19888  42051b8a632649fa
    122       0.333333              3              0  9b60f4f6b2d19888  4b7365d29db128f1
    123            425            701              1  9b60f4f6b2d19888  55ff16c4ee5231cb
    124        78.3333             33              0  9b60f4f6b2d19888  59535da8c43f68ce
    125        486.333            985              2  9b60f4f6b2d19888  5fbd1679e32ea884
    126       0.999999              5              1  9b60f4f6b2d19888  62747772586cbe4b
    127        502.333            401              2  9b60f4f6b2d19888  705b9f3eab202f1b
    128       0.999999              9              1  9b60f4f6b2d19888  70c33f011e4a1b2c
    129       0.333333              3              0  9b60f4f6b2d19888  8486b670f2a0b595
    130        555.999           1012              2  9b60f4f6b2d19888  a9fa05961de170d1
    131        408.666            323              1  9b60f4f6b2d19888  ae783f473792dbaf
    132       0.999999              8              1  9b60f4f6b2d19888  bf641dc73e11f295
    133        703.333            759              1  9b60f4f6b2d19888  c42557e84b7a060c
    134       0.333333              4              1  9b60f4f6b2d19888  cea1e87405e15b5f
    135       0.333333              3              1  9b60f4f6b2d19888  d1d4435ca912a911
    136       0.666666              3              0  9b60f4f6b2d19888  d51cf2c6673816c6
    137       0.666666              5              1  9b60f4f6b2d19888  e6e2847683795e3f
    138        1.66667              4              1  9b60f4f6b2d19888  e93cd5625fcc1556
    139        8.99999             91              0  9b60f4f6b2d19888  eb0de675c8147a65
    140        8.66666              3              1  9b60f4f6b2d19888  ec1af9ca018ea386
    141        1.33333              6              1  9b60f4f6b2d19888  f0692e891b7edcea
    142             11             26              1  9b60f4f6b2d19888  f24131f6bb74ad36
    143       0.333333              4              1  9b60f4f6b2d19888  f3fbd46bbcdf2cbc
    144              2              9              0  9b60f4f6b2d19888  f94806237ef3268f
    145        2487.33           3074              6  bcc157bfd7649924  06f5d3f1613f6632
    146        5.33333             48              0  bcc157bfd7649924  19d0464b24319637
    147        1.33333             11              0  bcc157bfd7649924  1e8654d2cb2628dc
    148        70.6666              9              0  bcc157bfd7649924  42f9f8621f07c6f6
    149            201             55              0  bcc157bfd7649924  46257f5098ea8306
    150        15.6667             14              1  bcc157bfd7649924  5bcf4fa5a4eac03f
    151        4.66666             18              1  bcc157bfd7649924  7024c5f22c623d64
    152              2             18              1  bcc157bfd7649924  72243bbf7b9b713e
    153        109.333             16              1  bcc157bfd7649924  7df38c7ed80c0c98
    154        466.333           1241              2  bcc157bfd7649924  7e06f5c995216096
    155        2752.33           3403             30  bcc157bfd7649924  8cfebb61937eef6b
    156       0.666666              6              1  bcc157bfd7649924  9f74430c205d64cc
    157        1.66667              9              1  bcc157bfd7649924  d5e01145233b7755
    158    1.34726e+06       12839240             18  bcc157bfd7649924  d6eb6f939e6be488
    159            125             15              1  bcc157bfd7649924  dfb681a91ff7ca46
    160        5.66666             10              0  bcc157bfd7649924  e35c492b3ef54140
    161        1.66667             13              1  bcc157bfd7649924  fb1f09a531d2c68f
    162        63.6666             11              1  c53a8b052791d4df  03760e8631a5947b
    163       0.999999              4              0  c53a8b052791d4df  0e01a4a9f2d4962e
    164       0.666666              4              1  c53a8b052791d4df  1cb1d4d0254e511f
