============================================================
Thread 0
  BBLID       Time(ns)    Instruction  Memory Access          Hash(hi)          Hash(lo)
     97    1.74073e+06        1160460              1  601fc0c8e9a450d6  b367cc0bd6020f33
     98    1.74076e+06        1160472              1  601fc0c8e9a450d6  bff5177754a86366
     99         773640         773640              0  601fc0c8e9a450d6  c857da5f4f8a687a
    100    1.55324e+06         966930            147  601fc0c8e9a450d6  c87dd7809d36cea3
    101         773648         773648              0  601fc0c8e9a450d6  eedf914740a9f8bb
    102              0              0            994  63649d658b0c18f9  f3116c794a45dd83
    103            211            160              1  6996a716c09d399d  63e26df4292b4909
    104              4              4              0  6996a716c09d399d  6eb873a50e08d246
    105             73             12              1  6996a716c09d399d  754f29b7ffc36d17
    106              9              9              0  6996a716c09d399d  8b9c046171a10d4f
    107              4              4              0  6996a716c09d399d  8c0368657c1aa1b9
    108            204            160              1  6996a716c09d399d  8eef1fb137f33c43
    109             64              7              1  6996a716c09d399d  b294678e344a39da
    110              4              4              0  6996a716c09d399d  b4be0f8c672a3d21
    111            122             17              2  6996a716c09d399d  c8333df2956551ae
    112           1100            212             19  6996a716c09d399d  cb4448f3bb842a1f
    113              4              4              0  6996a716c09d399d  db8044b4261832d3
    114             55              4              1  6996a716c09d399d  e5708dafc2d7c740
    115              8              5              0  9b60f4f6b2d19888  1ae976e749f8347a
    116           2859            983             19  9b60f4f6b2d19888  20ccaf2c4930b599
    117           4652            517            113  9b60f4f6b2d19888  25f6dae6c8baf3e2
    118            654             82             10  9b60f4f6b2d19888  2db39da314450727
    119             59              5              1  9b60f4f6b2d19888  2e23b63d5860f3c6
    120             55              4              1  9b60f4f6b2d19888  3b085a1336189302
    121              5              5              0  9b60f4f6b2d19888  42051b8a632649fa
    122              8              5              0  9b60f4f6b2d19888  4b7365d29db128f1
    123           3328            698             48  9b60f4f6b2d19888  55ff16c4ee5231cb
    124            251             30              5  9b60f4f6b2d19888  59535da8c43f68ce
    125           1943            983              3  9b60f4f6b2d19888  5fbd1679e32ea884
    126            107              5              3  9b60f4f6b2d19888  62747772586cbe4b
    127           1472            399             16  9b60f4f6b2d19888  705b9f3eab202f1b
    128             63             10              1  9b60f4f6b2d19888  70c33f011e4a1b2c
    129              8              5              0  9b60f4f6b2d19888  8486b670f2a0b595
    130           2080           1009              3  9b60f4f6b2d19888  a9fa05961de170d1
    131            722            323              3  9b60f4f6b2d19888  ae783f473792dbaf
    132             85              8              1  9b60f4f6b2d19888  bf641dc73e11f295
    133           3014            757             36  9b60f4f6b2d19888  c42557e84b7a060c
    134             59              5              1  9b60f4f6b2d19888  cea1e87405e15b5f
    135             59              5              1  9b60f4f6b2d19888  d1d4435ca912a911
    136              5              5              0  9b60f4f6b2d19888  d51cf2c6673816c6
    137            108              5              2  9b60f4f6b2d19888  e6e2847683795e3f
    138             55              4              1  9b60f4f6b2d19888  e93cd5625fcc1556
    139            232             92              1  9b60f4f6b2d19888  eb0de675c8147a65
    140             59              5              1  9b60f4f6b2d19888  ec1af9ca018ea386
    141             65              8              1  9b60f4f6b2d19888  f0692e891b7edcea
    142            162             30              2  9b60f4f6b2d19888  f24131f6bb74ad36
    143             59              5              1  9b60f4f6b2d19888  f3fbd46bbcdf2cbc
    144             19             10              0  9b60f4f6b2d19888  f94806237ef3268f
    145          10917           3071            126  bcc157bfd7649924  06f5d3f1613f6632
    146            141             50              1  bcc157bfd7649924  19d0464b24319637
    147             10             10              0  bcc157bfd7649924  1e8654d2cb2628dc
    148             16             10              0  bcc157bfd7649924  42f9f8621f07c6f6
    149             96             48              0  bcc157bfd7649924  46257f5098ea8306
    150             87             18              1  bcc157bfd7649924  5bcf4fa5a4eac03f
    151            141             20              1  bcc157bfd7649924  7024c5f22c623d64
    152             75             18              1  bcc157bfd7649924  72243bbf7b9b713e
    153            110             18              1  bcc157bfd7649924  7df38c7ed80c0c98
    154           3220           1231             32  bcc157bfd7649924  7e06f5c995216096
    155          10626           3390            109  bcc157bfd7649924  8cfebb61937eef6b
    156             52              8              1  bcc157bfd7649924  9f74430c205d64cc
    157             67              8              1  bcc157bfd7649924  d5e01145233b7755
    158    1.27727e+07       12766620            105  bcc157bfd7649924  d6eb6f939e6be488
    159             71             14              1  bcc157bfd7649924  dfb681a91ff7ca46
    160             16             10              0  bcc157bfd7649924  e35c492b3ef54140
    161             73             16              1  bcc157bfd7649924  fb1f09a531d2c68f
    162             68             10              1  c53a8b052791d4df  03760e8631a5947b
    163              4              4              0  c53a8b052791d4df  0e01a4a9f2d4962e
    164             55              4              1  c53a8b052791d4df  1cb1d4d0254e511f
    165              4              4              0  c53a8b052791d4df  455a1628fb5f029c
    166           3978            887             67  c53a8b052791d4df  46d090a24a99033e
    167             60              6              1  c53a8b052791d4df  5a8dde29c9cf1287
    168              4              4              0  c53a8b052791d4df  5fcd199719043534
    169             55              4              1  c53a8b052791d4df  832be70d7507af8a
    170            292            190             25  c53a8b052791d4df  c2d3071409a7e503
    171              7              7              0  c53a8b052791d4df  c35120941a0cddf2
    172             55             11              1  c53a8b052791d4df  d3d214d05c7cfcfc
    173             55              4              1  c53a8b052791d4df  f9521a1bc5efca4e
    174             59              5              2  cc41db93ac2617a9  0568e203470d04e6
    175             61              7              2  cc41db93ac2617a9  09a7ce892ea43169
    176             69             12              2  cc41db93ac2617a9  0ffc28d4c82dec9f
    177             16             10              0  cc41db93ac2617a9  138abc070fffcba4
    178            136             13              3  cc41db93ac2617a9  142ceb25d2e6d116
    179             51              7              2  cc41db93ac2617a9  18b2468bf0460991
    180         195070          99614            404  cc41db93ac2617a9  1912879e45e522bb
    181            811             92             15  cc41db93ac2617a9  1c6f5c0f4232714a
    182              4              4              0  cc41db93ac2617a9  2419f7dace89091e
    183             15              9              0  cc41db93ac2617a9  2b777f6d68557529
    184             68             11              2  cc41db93ac2617a9  326409268d198715
    185          78149          22073           1038  cc41db93ac2617a9  38520be9372092ba
    186           9954           2986            145  cc41db93ac2617a9  42e26311d133032b
    187            788             92             17  cc41db93ac2617a9  4c2c9b7d4f76fd8c
    188             55              4              1  cc41db93ac2617a9  583e18ec32cd52ea
    189           5324            710            144  cc41db93ac2617a9  590762faa7e12c84
    190             10              7              0  cc41db93ac2617a9  67cf50959ac66389
    191             99             13              2  cc41db93ac2617a9  68af64d0dad877a6
    192             16             10              0  cc41db93ac2617a9  6e8a45ef0f785162
    193             10              7              2  cc41db93ac2617a9  6f197b3f2e2c35a6
    194              4              4              0  cc41db93ac2617a9  72390eeb20869328
    195             62              8              2  cc41db93ac2617a9  72ad1dc3f7cf2068
    196         190666          99653            469  cc41db93ac2617a9  75f4297f006485f6
    197             56              5              2  cc41db93ac2617a9  76ca82785e006cb3
    198             57              6              2  cc41db93ac2617a9  7f3653cec2ffeaed
    199              8              5              0  cc41db93ac2617a9  7fa2839d84287fa9
    200             59              5              2  cc41db93ac2617a9  8345546be86e80b6
    201            994            171             14  cc41db93ac2617a9  8f23a3db9260ed41
    202             61              7              2  cc41db93ac2617a9  9272e70a8b0bd034
    203             11              8              0  cc41db93ac2617a9  9e9c535a22fe5e89
    204              9              6              0  cc41db93ac2617a9  afa4f99ac94c15f6
    205            123             15              3  cc41db93ac2617a9  b4534796bd56f491
    206             59              5              2  cc41db93ac2617a9  ba1fa2d87f84b6ee
    207            111              6              3  cc41db93ac2617a9  c20f011a2c05f2da
    208             63              6              2  cc41db93ac2617a9  c700524463fa17f0
    209             67             10              2  cc41db93ac2617a9  c7d3d8d7a511bc3a
    210             54              7              1  cc41db93ac2617a9  cece04918e8f603c
    211              8              5              0  cc41db93ac2617a9  d8b28a5be6bb6b5d
    212             56              9              1  cc41db93ac2617a9  d8fa96c3945e7c49
    213             11              8              1  cc41db93ac2617a9  deada85d4004000f
    214             10              7              0  cc41db93ac2617a9  e0f9a6f259ead608
    215            197             17              5  cc41db93ac2617a9  e290bd9aa7333363
    216             73             13              1  cc41db93ac2617a9  e9127d152918671c
    217             61              7              2  cc41db93ac2617a9  f929db19949944a7
    218             57              6              1  cc41db93ac2617a9  fbc6b5635b4c55d1
    219             55              4              1  cc41db93ac2617a9  fbf4df149ce255b0
    220             65             12              2  cc41db93ac2617a9  ff54ad70de588f38
    221            366             34              8  ed152b33fc389259  01a7067f1b3500d8
    222              4              4              0  ed152b33fc389259  4370d64e54615112
    223              5              5              0  ed152b33fc389259  456fdb34a0dbe78e
    224            863            246             15  ed152b33fc389259  b776e294eb1ffe30
    225             55              4              2  ed152b33fc389259  c6b2e7238fb805db
    226            397             19             11  ed152b33fc389259  e60461f7c8f47317
    227             55              4              1  ed152b33fc389259  eb5ef30c64135cee
    228             62              8              1  ed152b33fc389259  fd687b1f1c710186
    229              5              5              0  f630d7a69dbe9f12  1b25ca22c345921e
    230              4              4              0  f630d7a69dbe9f12  2a9d51250241ea0b
    231             55              4              2  f630d7a69dbe9f12  559c30cf1dd4845d
    232             55              4              2  f630d7a69dbe9f12  671dbae6bf6b8778
    233              4              4              0  f630d7a69dbe9f12  73f20393c040797d
    234             71             11              1  f630d7a69dbe9f12  83ada5c5909d3b25
    235              4              4              0  f630d7a69dbe9f12  9386bb548bf90dd0
    236             74             14              4  f630d7a69dbe9f12  c81b8b4b4552c2c0
    237           1869            346             37  f630d7a69dbe9f12  c9644d1f981e22bb
    238           7005            888            168  f630d7a69dbe9f12  e27b12ce557a3a70
